DOID:299	adenocarcinoma	 	D000230	C2852	10003, 101, 10232, 1026, 10276, 1027, 1029, 1030, 10381, 10397, 1045, 10630, 1080, 10981, 10986, 109, 11093, 1113, 11186, 112, 113, 116, 1180, 11886, 136, 1401, 1499, 1543, 1545, 1548, 1636, 183, 185, 1871, 1890, 1956, 200504, 2017, 2034, 2043, 2064, 2065, 207, 208, 2099, 2100, 213, 2152, 2161, 2170, 21926, 2246, 2272, 2289, 231, 23849, 26579, 2678, 27035, 27074, 27113, 290, 2944, 2950, 2952, 301, 3091, 3198, 324, 3265, 328, 3315, 331, 3363, 3400, 3479, 3553, 3586, 358, 360, 3621, 3655, 3673, 3675, 3688, 368, 3725, 3815, 3827, 3845, 3852, 3855, 3856, 3875, 387, 3880, 3918, 3952, 3958, 4089, 4221, 4267, 427, 4288, 4292, 4312, 4313, 4316, 4318, 4327, 4363, 4486, 4524, 4582, 4583, 4586, 4588, 474, 489, 5037, 5111, 5328, 5420, 56287, 5743, 5757, 581, 5834, 5925, 595, 5967, 596, 6273, 6275, 6279, 6286, 637, 6401, 6403, 6470, 64766, 6647, 6648, 673, 682, 689, 7078, 7080, 7099, 7122, 7123, 7124, 7247, 7291, 7298, 7424, 7428, 7432, 7479, 7508, 836, 847, 8795, 8824, 8858, 8930, 8935, 9075, 9076, 9149, 9154, 9166, 9370, 9429, 9928, 9
DOID:4943	adenocarcinoma in situ	 	 	C4123	10232
DOID:4866	adenoid cystic carcinoma	 	D003528	C2970	1029, 1499, 1509, 1540, 3815, 3958, 41, 4684, 5111, 5300, 595, 596, 6502, 6659, 6693
DOID:657	adenoma	 	D000236	C2855	1026, 1029, 1030, 1045, 10763, 1081, 1082, 10848, 10849, 10, 11284, 11318, 11789, 126, 133, 1499, 1543, 1630, 19015, 1902, 1994, 2052, 207, 2099, 2137, 2172, 217, 239, 240, 246, 2690, 27035, 2735, 2950, 2952, 3091, 324, 3290, 3291, 355, 3586, 3593, 3630, 3753, 3756, 3757, 3845, 3953, 4087, 4088, 4118, 4233, 4255, 4282, 4288, 4312, 4314, 4316, 4361, 4486, 4524, 4583, 4586, 4588, 4595, 5111, 573, 5743, 581, 595, 623, 6387, 63892, 6414, 6469, 6513, 6528, 6624, 6693, 673, 7201, 7296, 7508, 7516, 7517, 9146, 9232, 9351
DOID:746	adenomatoid tumor	 	D018254	C3762	3673, 3675, 3688, 4583
DOID:4830	adenosquamous carcinoma	 	D018196	C3727	1956
DOID:3124	adenovirus infectious disease	 	D000257	 	10111, 1027, 1029, 11009, 11060, 11100, 11799, 1234, 14377, 1445, 1525, 1956, 1977, 1981, 207, 2159, 25634, 259230, 25942, 27178, 332, 335, 3360, 338, 351, 355, 3576, 3596, 3716, 4057, 4179, 4193, 4361, 4609, 466, 4683, 472, 5080, 5430, 57019, 5747, 57634, 581, 5879, 5925, 595, 598, 6019, 6647, 708, 728931, 7307, 842, 847, 859, 8797, 8837, 8856, 9021, 941, 942, 9439
DOID:656	adrenal adenoma	 	 	 	3290, 3291, 3569
DOID:3949	adrenal cortex cancer	 	D000306	C2858	231
DOID:660	adrenal cortex cancer	 	D000306	C2858	247, 37
DOID:10493	adrenal cortical hypofunction	255.4	 	 	65057
DOID:11007	adrenal gland cancer	 	D000310	C2859	185, 186
DOID:3953	adrenal gland cancer	 	D000310	C2859	10911, 2693, 288517, 355, 3973
DOID:3947	adrenal gland hyperfunction	 	D000308	 	1844, 6403
DOID:9552	adrenal gland hypofunction	 	D000309	C26691	190, 65057
DOID:4967	adrenal hyperplasia	 	 	 	3973, 3990, 5443, 641
DOID:1786	adrenal rest tumor	 	D000314	C2860	185, 4158
DOID:3948	adrenocortical carcinoma	 	D018268	C9325	1588, 2099, 2100, 595, 6595, 6597, 891
DOID:10588	adrenoleukodystrophy	341.1	D002549	C84670	10134, 11666, 133, 20194, 215, 225, 301, 302, 406994, 50500, 5340, 5825, 5826, 6285, 6622, 7082, 7274, 875
DOID:13451	adrenoleukodystrophy	341.1	D002549	C84670	5979, 673
DOID:5604	adult acute lymphocytic leukemia	 	 	C4967	1543
DOID:11394	adult respiratory distress syndrome	 	D012128	C3353	1636, 1906, 2152, 3291, 3553, 355, 3569, 356, 3576, 4282, 5054, 6439, 6441
DOID:4224	adult soft tissue sarcoma	 	 	C7707	1956, 6469
DOID:14256	adult-onset Still's disease	 	D016706	 	3557, 355, 356, 3606
DOID:2583	agammaglobulinemia	 	D000361	 	3586, 930
DOID:618	agammaglobulinemia	 	D000361	 	695
DOID:10871	age related macular degeneration	362.5	D008268	C84391	10878, 1231, 1401, 1471, 1524, 1636, 2074, 2202, 24, 3240, 3383, 348, 387715, 4040, 4316, 59338, 5961, 6347, 6401, 688, 7078, 7099, 717, 718, 7422, 7436, 7439, 8842
DOID:1474	aggressive periodontitis	 	D010520	 	5048
DOID:593	agoraphobia	 	D000379	C34362	10645, 135, 3350, 5027, 6530
DOID:12987	agranulocytosis	 	D000380	C2863	1991
DOID:1305	AIDS dementia complex	 	D015526	C2864	2150, 27165, 5329, 6347, 7076
DOID:1308	AIDS related complex	 	D000386	 	10092, 10095, 24248, 26276, 3638, 54323, 78688, 841, 847, 85383, 8996
DOID:1574	alcohol abuse	305	D000437	C20701	255239
DOID:8639	alcohol withdrawal delirium	291	D000430	 	1621, 1667, 3673, 3685, 3688, 4137, 886
DOID:14018	alcoholic liver cirrhosis	571.2	D008104	C34782	10401, 1493
DOID:14183	alcoholic neuropathy	357.5	D020269	C26926	217
DOID:4988	alcoholic pancreatitis	 	D019512	 	1056, 125, 217, 2950, 3304, 3458, 3586, 6347, 6648, 6690, 929
DOID:252	alcoholic psychosis	291.9	D011604	 	6532
DOID:4252	Alexander disease	 	D038261	C84545	1432, 2670
DOID:9415	allergic asthma	493	 	 	10803, 1122, 1215, 1493, 1495, 1535, 2205, 26762, 27159, 2729, 2944, 2952, 3565, 3566, 3567, 3578, 3586, 3592, 3593, 3596, 3597, 3603, 3702, 3911, 4318, 5048, 6036, 627, 6362, 6404, 64806, 7082, 7099, 796, 8797, 929
DOID:13166	allergic bronchopulmonary aspergillosis	518.6	D001229	C84547	276, 4153, 6436
DOID:11204	allergic conjunctivitis	 	D003233	C34506	9021, 9655
DOID:3042	allergic contact dermatitis	 	D017449	C26998	10, 1636, 3603, 6363, 7124
DOID:14030	allergic rhinitis	 	 	C34987	1906, 1956, 3269, 3274, 3383
DOID:4481	allergic rhinitis	 	 	C34987	929
DOID:8242	allergic rhinitis	 	 	C34987	1524, 1956, 2150, 2212, 2302, 3596, 3605, 3606, 623, 6278, 6352, 6376, 7097, 7098, 7099, 7349, 9370
DOID:8205	alloimmunization	 	 	C6527	3107, 3811, 4311
DOID:987	alopecia	704	D000505	C50575	1489, 200879, 3105, 3106, 3117, 3479, 3569, 3572, 3688, 3976, 4306, 4763, 5008, 5443
DOID:986	alopecia areata	704.01	D000506	 	10673, 11168, 2209, 2210, 26191, 26525, 326, 3383, 3458, 3557, 3603, 4276, 6347
DOID:1442	Alpers syndrome	 	D002549	C35257	5428
DOID:1099	alpha thalassemia	 	D017085	C34368	546, 64162
DOID:4051	alveolar rhabdomyosarcoma	 	D018232	C3749	2308, 328, 5077, 5081
DOID:4239	alveolar soft part sarcoma	 	D018234	C3750	4292, 4436, 79058
DOID:10652	Alzheimer's disease	331	D000544	C38778	10211, 10273, 1027, 10280, 102, 10399, 10524, 1071, 10776, 1080, 10858, 10935, 11033, 1103, 1113, 1114, 1129, 11307, 11315, 1136, 1137, 1139, 1141, 1152, 116459, 11820, 1191, 1234, 12569, 12, 1401, 140908, 1410, 1435, 14419, 14433, 1453, 1471, 1499, 1509, 1536, 153, 156, 1627, 1636, 17762, 177, 18479, 1859, 1869, 19016, 19060, 1938, 1965, 1978, 19, 2023, 2057, 2066, 2078, 2099, 20, 2100, 2166, 2170, 21803, 21898, 22084, 22139, 2246, 23821, 239, 246, 246744, 25416, 255022, 255738, 2597, 25, 26088, 2618, 26353, 2670, 2688, 27163, 27344, 2752, 284217, 285672, 29119, 29431, 29477, 29904, 2, 3181, 320, 323, 3320, 3339, 334, 3356, 3358, 335, 3362, 3383, 3416, 341, 3458, 347731, 3479, 347, 3482, 348, 351, 3552, 3553, 355, 3569, 356, 3586, 3606, 3630, 3658, 3684, 3685, 3688, 3749, 375790, 3831, 3915, 3925, 3949, 3973, 4023, 4035, 410, 4128, 4129, 4137, 4223, 4241, 4311, 4353, 4361, 4440, 4524, 4543, 4548, 4552, 4666, 4741, 4747, 498, 5052, 5058, 5074, 5105, 5300, 5320, 5328, 5423, 55937, 56424, 57142, 571, 5743, 57447, 5870, 5894, 590, 5999, 599, 618, 6198, 624, 627, 6280, 6283, 6285, 6347, 6348, 6400, 64137, 642, 643387, 6453, 6506, 65078, 6531, 6532, 6571, 6622, 6646, 6648, 6653, 6655, 6667, 672, 689415, 7076, 7077, 7099, 7124, 715, 7166, 718, 7249, 7276, 728, 7314, 7345, 7447, 7490, 755, 80142, 815, 823, 831, 836, 837, 839, 875, 8851, 8878, 892, 8997, 9261, 93759, 9420, 9445, 9479, 9482, 9546, 9588, 9619, 9821
DOID:10376	amblyopia	368	D000550	 	2261, 7291
DOID:4359	amelanotic melanoma	 	D018328	C3802	1638, 7299, 7306
DOID:2187	amelogenesis imperfecta	 	D000567	 	10117, 10970, 11704, 265, 9313, 9622
DOID:13938	amenorrhea	626	D000568	C61443	3952
DOID:4544	amnestic disorder	 	D000647	C2867	348
DOID:4932	ampulla of Vater carcinoma	 	 	C3908	4586, 6657
DOID:9120	amyloidosis	277.3	D000686	C2868	11315, 11784, 14419, 1471, 19225, 2243, 26353, 325, 335, 3375, 3385, 344, 351, 4069, 4099, 4150, 4153, 4210, 4311, 4314, 567, 6288, 6289, 6406, 643387, 6622, 6647, 7124, 7276, 811, 929
DOID:332	amyotrophic lateral sclerosis	335.2	D000690	C34373	11127, 11315, 11820, 142, 1432, 1437, 1471, 1508, 16005, 1639, 2022, 20511, 20655, 24786, 25897, 259173, 25978, 26287, 27063, 283, 2950, 328, 3350, 3483, 348, 3508, 351, 3596, 367, 3709, 3791, 3915, 4015, 4087, 4088, 4137, 4233, 4318, 4744, 4747, 5034, 57142, 57679, 5868, 627, 6347, 643387, 6506, 6606, 6607, 6647, 6683, 7076, 718, 7425, 779, 80173, 836, 9217, 9973
DOID:3078	anaplastic astrocytoma	 	D001254	C9477	10135, 1956, 284, 2944, 2950, 4255
DOID:5651	anaplastic carcinoma	 	D002277	 	6281, 6678, 673, 9212
DOID:5889	anaplastic ependymoma	 	D004806	C4049	1029, 4255, 6623, 7078
DOID:5613	anaplastic meningioma	 	D008579	C4051	1029, 1030, 1499, 2113, 3371, 4288, 4313, 4318
DOID:7306	anaplastic oligoastrocytoma	 	 	C6959	1956, 2944, 2950, 57534
DOID:7154	anaplastic oligodendroglioma	 	D009837	C4326	10215, 2944, 2950, 3925
DOID:7012	anaplastic thyroid carcinoma	 	C536910	C3878	11065, 1432, 3880, 4085, 5745, 6528, 673, 699, 7080, 78986, 79921, 9212, 9429, 9768
DOID:4672	androgen insensitivity syndrome	259.51	D013734	 	367
DOID:4674	androgen insensitivity syndrome	259.51	D013734	 	367
DOID:2355	anemia	285.9	D000740	C2869	11093, 1636, 2056, 213, 2168, 2247, 3458, 3569, 356, 3586, 3593, 360, 3952, 5777, 57817, 6352, 6556, 7099, 7124, 759, 760, 84506
DOID:1932	Angelman syndrome	 	D017204	 	10479, 4204, 7337
DOID:3314	angiomyolipoma	 	D018207	C3734	10752, 1464, 1956, 3458, 4241, 673, 7249
DOID:4265	angiomyoma	 	D018229	C3747	5744
DOID:267	angiosarcoma	 	D006394	C3088	302, 3845, 595
DOID:13550	angle-closure glaucoma	 	D015812	C34639	4524
DOID:11156	anhidrosis	705	D007007	C34385	5313
DOID:7147	ankylosing spondylitis	720	D013167	C84564	1401, 1543, 1636, 19223, 3105, 3106, 3458, 3557, 3558, 3586, 3811, 3952, 4153, 4314, 445341, 4488, 56172, 6288, 64127, 6648, 7099
DOID:227	ankylosis	718.5	D000844	 	650, 655, 9241
DOID:8689	anorexia nervosa	307.1	D000856	C34387	181, 2641, 3352, 3356, 3358, 3458, 3569, 3625, 3952, 3953, 4128, 4159, 421, 56729, 627, 6285, 6462, 6530, 6532, 7124, 7351, 7352, 9370, 9575
DOID:3781	anovulation	 	D000858	C34388	2688, 3479
DOID:10327	anthracosis	500	D055008	C34390	4153, 6435
DOID:7427	anthrax disease	22.9	D000881	C84565	11093, 11117, 22371, 64411, 7450
DOID:2988	antiphospholipid syndrome	 	D016736	C61283	2212, 302, 3479, 3484, 350, 4524, 5055, 5327, 8858
DOID:10939	antisocial personality disorder	301.7	D000987	 	4128
DOID:3755	antithrombin III deficiency	 	D020152	 	462
DOID:14110	anus cancer	154.2	 	 	2272
DOID:2030	anxiety disorder	 	D001008	C2878	2099, 2571, 2572, 4128, 41, 6532, 7166
DOID:3627	aortic aneurysm	 	D001014	C26697	1215, 1636, 3315, 3678, 3688, 4318
DOID:10230	aortic atherosclerosis	440	 	 	2022
DOID:520	aortic disease	 	D001018	 	2006
DOID:62	aortic valve disease	395.9	 	 	1636
DOID:57	aortic valve insufficiency	 	D001022	C51223	10747, 4153
DOID:1712	aortic valve stenosis	 	D001024	C50462	1636, 186, 335, 338, 348, 718, 727
DOID:12449	aplastic anemia	284.9	D000741	C2870	1543, 1604, 2623, 2624, 2625, 2944, 2950, 2952, 3117, 3119, 356, 3586, 3674, 3690, 4773, 6023, 7124, 7490
DOID:8337	appendicitis	541	D001064	 	1906, 3569, 3953
DOID:4019	apraxia	 	D001072	 	4361
DOID:4445	arachnoid cyst	 	D016080	C3455	6683
DOID:14755	argininosuccinic aciduria	 	D056807	C84569	435
DOID:8454	ariboflavinosis	266	D012257	 	2108, 2110, 338
DOID:2868	arterial occlusive disease	 	D001157	 	1234, 1401, 2157
DOID:5162	arteriolosclerosis	 	D050379	C35543	4018
DOID:2349	arteriosclerosis	 	D001161	C34398	10267, 10290, 1401, 18126, 199, 335, 3458, 4314, 6376, 6401, 65997, 7292
DOID:5160	arteriosclerosis obliterans	 	D001162	 	1435, 4162, 9370
DOID:11294	arteriovenous malformation	 	 	C4297	7422
DOID:848	arthritis	 	D001168	C2883	10135, 10392, 10563, 107607, 1435, 1508, 16171, 20315, 2150, 2247, 25465, 257632, 26191, 332, 3458, 3552, 3569, 3577, 3579, 3600, 3604, 3605, 3606, 4282, 4313, 4314, 4319, 4524, 4584, 4586, 5008, 5133, 56729, 57876, 59340, 6288, 6347, 6352, 6368, 6387, 64127, 682, 7097, 7099, 7124, 7432, 7434, 83964, 9536
DOID:381	arthropathy	719.9	D007592	C35760	3574, 445341, 56172, 655, 7099, 929
DOID:10320	asbestosis	501	D001195	C84573	2950
DOID:2841	asthma	493.9	D001249	C28397	100, 101, 10333, 10800, 10803, 1116, 11213, 1122, 11251, 1128, 1131, 1179, 1230, 1231, 1232, 1234, 128, 135, 1395, 1401, 1524, 1535, 154, 1636, 17096, 1906, 1910, 1942, 1956, 1958, 1991, 20248, 20390, 2113, 2150, 2205, 2212, 22287, 2247, 23985, 240, 246778, 26135, 2625, 26762, 27159, 284, 2944, 2950, 2952, 29949, 302, 3117, 3119, 3176, 3303, 3304, 3315, 3371, 3383, 3439, 3458, 3478, 3497, 3553, 3557, 3565, 3566, 3567, 3568, 3576, 3578, 3581, 3586, 3592, 3593, 3596, 3597, 3605, 3606, 3620, 3623, 3627, 3631, 3659, 3676, 3690, 374, 3779, 3791, 383, 387129, 3952, 3958, 4049, 4056, 4087, 4094, 4153, 4313, 4318, 4524, 4586, 4638, 5054, 5294, 5328, 5367, 56477, 57105, 5743, 57628, 581, 594857, 596, 598, 6036, 6037, 623, 624, 627, 6317, 6318, 6346, 6352, 6356, 6361, 6367, 6369, 6376, 6435, 6436, 6440, 6441, 64806, 6556, 658, 659, 6647, 6648, 7076, 7096, 7097, 7098, 7099, 7124, 7177, 719, 720, 728, 7292, 7498, 80332, 820, 847, 85030, 8807, 8809, 90, 9173, 929, 942
DOID:5783	asthma	493.9	D001249	C28397	1116, 1401, 2099, 3567, 3586, 3596, 387129, 80332
DOID:11782	astigmatism	367.2	D001251	 	2261, 7291
DOID:3069	astrocytoma	 	D001254	C6958	100133941, 10161, 10215, 1027, 1029, 103, 104, 12484, 140, 1520, 155971, 1620, 18015, 1870, 1956, 1969, 2014, 2034, 207, 2264, 26524, 2670, 2693, 3225, 3371, 3383, 3456, 3485, 351, 3569, 358, 3598, 361, 3688, 3741, 387, 412, 4133, 4176, 4255, 429, 4312, 4314, 4316, 4318, 4763, 5029, 5337, 5338, 56105, 5743, 57534, 5764, 598, 6198, 6284, 6539, 6622, 754, 768, 842, 9113, 9232, 9334, 9536, 9833, 9961
DOID:12704	ataxia telangiectasia	 	D001260	C2887	1026, 1869, 1871, 207, 22661, 3251, 3783750, 4171, 4172, 4176, 4292, 4361, 4683, 472, 5347, 5378, 5395, 545, 58820, 5976, 604, 6197, 64421, 648, 7341, 836
DOID:1936	atherosclerosis	440	D050197	C35768	10062, 1028, 1071, 10911, 110446, 11132, 1116, 1118, 11596, 11806, 11816, 1231, 1234, 1401, 1435, 1524, 1535, 1593, 16193, 16195, 1636, 177, 183, 18573, 185, 18793, 1906, 1910, 19223, 192344, 197, 1991, 1994, 19, 20219, 2053, 207, 2100, 213, 2147, 2152, 2153, 2155, 215, 21803, 21926, 2212, 2214, 22259, 231, 241, 246, 255738, 257313, 27035, 294515, 29851, 325, 3329, 3339, 335, 337, 3383, 338, 339479, 341, 3479, 3480, 3486, 348, 350, 3557, 3569, 356, 3572, 3586, 3606, 3630, 3685, 3693, 3717, 3791, 3931, 3949, 3990, 4018, 4023, 4035, 4312, 4313, 4314, 4317, 4318, 4321, 4323, 4332, 4353, 4524, 4547, 5029, 5054, 5136, 5144, 5155, 5327, 5328, 5329, 5360, 55911, 56729, 57016, 5743, 5806, 58181, 58185, 58191, 6095, 6279, 6280, 6347, 6352, 6376, 6387, 6401, 64805, 6489, 6532, 6647, 6696, 682, 7076, 7097, 7099, 7124, 7295, 7351, 7422, 7450, 7498, 775, 81529, 820, 83964, 929, 9365, 9370, 942, 9446, 9572, 9966
DOID:3310	atopic dermatitis	 	D003876	 	1026, 10800, 10850, 10, 11005, 11251, 1215, 1232, 1233, 1437, 1475, 1493, 1510, 1514, 1524, 154, 2150, 216, 2205, 256076, 2625, 26762, 2944, 2950, 2952, 3350, 3356, 341, 3440, 3458, 3553, 3565, 3566, 3567, 3593, 3594, 3596, 3597, 3600, 3603, 3606, 360, 3713, 386653, 387129, 4014, 406911, 406938, 406991, 4087, 4088, 4153, 4254, 4283, 5328, 5329, 55894, 5966, 597, 6036, 6037, 627, 6282, 6352, 6356, 6357, 6361, 6362, 6367, 6368, 6376, 6401, 6403, 6532, 6609, 6610, 7076, 7097, 7432, 796, 79924, 836, 8995, 9173, 929, 944, 9882
DOID:1882	atrial heart septal defect	 	D006344	C84473	1482, 438, 5021, 5781, 6532, 659, 70, 8912
DOID:8929	atrophic gastritis	535.1	D005757	C7405	1044, 1045, 1612, 3553, 3557, 3558, 355, 3566, 356, 374, 6469
DOID:2301	atrophy of prostate	602.2	 	 	2950
DOID:1093	attention deficit hyperactivity disorder	 	D001289	C35092	150, 1621, 6531, 6616
DOID:1094	attention deficit hyperactivity disorder	 	D001289	C35092	1137, 150, 1621, 255239, 2774, 3351, 3352, 3356, 3358, 3360, 3557, 4128, 4129, 412, 4524, 55885, 627, 64324, 6507, 6530, 6531, 6532, 6616, 7166, 9415, 9575
DOID:412	atypical Mycobacterium infectious disease	 	D009165	 	16362, 29851, 3431, 3458, 3576, 3659, 6347, 6556
DOID:12849	autistic disorder	299	D001321	 	100, 11069, 1137, 1139, 1141, 154, 1589, 158, 1644, 18, 1950, 2020, 2131, 221035, 221037, 22829, 2571, 26047, 2670, 26958, 26960, 2697, 27185, 2739, 2944, 3105, 3198, 3211, 3356, 348, 361, 3690, 3952, 4128, 412, 4152, 4204, 4232, 4233, 4340, 438, 5021, 5307, 552, 57502, 5864, 596, 6263, 627, 6323, 6326, 6328, 6343, 64324, 6532, 7166, 721, 7248, 7249, 7328, 7337, 7472, 79083, 80258, 8828, 9037, 9378, 9968
DOID:718	autoimmune hemolytic anemia	283	D000744	C34378	1493, 3586
DOID:2048	autoimmune hepatitis	571.42	D019693	C27029	10673, 1493, 1629, 2212, 2213, 2952, 3106, 3117, 355, 383, 3856, 3875, 5788
DOID:14040	autoimmune polyendocrine syndrome	 	D016884	C84576	2056, 3106, 326
DOID:2220	autoimmune thrombocytopenic purpura	 	D016553	C3446	10673, 1524, 3458, 349565, 3557, 3565, 3674, 3676, 3688, 3690, 3952, 4049, 9103, 931
DOID:8924	autoimmune thrombocytopenic purpura	 	D016553	C3446	1493, 2213, 3557
DOID:7188	autoimmune thyroiditis	 	D050031	C27191	1493, 3105, 3106, 3627, 3630, 6347
DOID:11504	autonomic neuropathy	 	 	C27033	10558, 378465
DOID:5937	autosomal dominant polycystic kidney	753.13	D016891	C84578	10537, 1080, 118, 1636, 183, 185, 18763, 1906, 1909, 1910, 1956, 2263, 3479, 348, 3579, 3655, 3691, 3725, 3911, 3918, 3934, 5310, 5311, 6558
DOID:5928	autosomal recessive polycystic kidney	753.14	D017044	C84579	21410, 241035, 5314
DOID:14686	Axenfeld-Rieger syndrome	 	C535679	C75015	2028, 2296, 5308
DOID:7319	axonal neuropathy	 	 	C27301	104884, 16905, 4000, 4359, 5354, 9927
DOID:14227	azoospermia	606	D053713	 	1080, 1191, 1617, 1618, 190, 2067, 2068, 2678, 268, 2768, 29118, 2952, 3119, 3624, 367, 419, 4254, 5906, 5940, 66037, 675, 7076, 7077, 7515
DOID:104	bacterial infectious disease	 	D001424	C2890	1401, 18783, 1956, 207, 24088, 25, 3569, 3576, 4153, 4582, 4615, 5008, 5294, 5321, 58191, 7097, 7099, 796, 820
DOID:9470	bacterial meningitis	320.9	D016920	 	2633, 4153, 6374
DOID:13815	bacterial pneumonia	482.9	D018410	C26704	5327
DOID:3385	bacterial vaginosis	 	D016585	 	3553, 3557, 3576, 4153, 4317, 7097
DOID:1412	bacteriuria	 	D001437	 	7099
DOID:1935	Bardet-Biedl syndrome	 	D020788	 	27241, 582, 583, 585, 79140, 79738, 80184
DOID:9206	Barrett's esophagus	530.85	D001471	C2891	1029, 1045, 10643, 11197, 1509, 1646, 1956, 2068, 2944, 2950, 2952, 3091, 324, 3315, 3569, 4085, 441792, 4583, 5307, 57016, 5967, 6422, 6497, 6498, 6648, 699, 7515, 864, 8824, 890, 9971
DOID:11102	Bartonella infectious disease	88	D001474	C84586	3553, 3576
DOID:445	Bartter disease	255.13	D001477	C34412	1187, 1188, 3758, 5997, 6557
DOID:2513	basal cell carcinoma	 	D002280	C2921	1029, 10961, 1906, 1956, 2068, 26585, 2735, 2736, 3480, 3569, 3576, 3621, 3685, 3880, 4157, 4170, 434, 4437, 4582, 4613, 4694, 5325, 5743, 6278, 6280, 6352, 6387, 650, 652, 6608, 6662, 7124, 7299, 7471, 7507, 864, 8837
