MIM103780	Alcoholism	100506013, 10100, 1012, 10128, 10150, 10170, 10180, 10181, 10243, 10280, 10327, 10383, 10420, 10427, 10516, 10531, 1056, 10564, 10580, 10598, 10606, 10618, 1062, 10635, 10667, 10692, 107, 10718, 1080, 10815, 10846, 10912, 10942, 10966, 11024, 1109, 11093, 11095, 11107, 11122, 11124, 1121, 1123, 11243, 11249, 1128, 11281, 1129, 113, 113201, 1134, 11346, 1135, 1136, 113612, 1137, 1138, 1142, 1143, 114327, 1144, 114784, 114787, 114795, 114879, 118, 1183, 118663, 121278, 124, 125, 1258, 126, 1268, 1269, 127, 1277, 128, 1284, 1285, 1291, 130, 130576, 131, 1312, 133022, 133308, 133418, 137868, 1385, 1392, 1393, 1394, 1398, 140733, 1432, 144125, 144195, 145858, 146, 1462, 146279, 147372, 1491, 1496, 149699, 150, 150000, 150465, 150468, 150962, 151242, 151963, 152, 1523, 152330, 154, 154215, 1543, 1548, 1553, 1555, 1571, 1601, 162073, 1621, 1622, 163, 1630, 1634, 1636, 1645, 166929, 168400, 168975, 171024, 1719, 1739, 1742, 1758, 1780, 1786, 1794, 1808, 1812, 1813, 1814, 1815, 183, 1834, 1850, 189, 1910, 1934, 1950, 1993, 2004, 2028, 2030, 2045, 2046, 2072, 2098, 2099, 2139, 2147, 2153, 2158, 216, 2169, 217, 2184, 2185, 219, 219854, 2199, 2201, 222, 2250, 2264, 2272, 22800, 22834, 22837, 22871, 2289, 22894, 22974, 22990, 23026, 2303, 23072, 23085, 2316, 2317, 2322, 23237, 2324, 23294, 23301, 23303, 23335, 2335, 23405, 23469, 23473, 23493, 23498, 23531, 23538, 23544, 23552, 23590, 23596, 23620, 24144, 2488, 25, 2534, 253558, 2550, 255239, 2554, 2555, 255743, 2558, 2559, 2560, 2561, 2562, 256435, 2565, 2566, 2567, 2569, 2570, 2571, 257144, 2572, 25758, 2587, 25897, 2597, 25976, 26040, 26059, 26073, 26245, 26254, 2626, 26468, 26503, 26747, 2678, 2688, 2693, 27010, 27034, 27043, 27044, 27068, 27115, 27123, 27249, 27255, 27319, 27332, 2736, 2743, 27445, 2746, 2752, 2778, 2784, 28, 2805, 2837, 284695, 28514, 286097, 2869, 287, 28951, 2897, 2899, 2900, 2902, 2903, 2904, 2914, 2915, 2917, 2918, 2932, 2936, 2944, 2950, 2952, 2954, 2993, 2994, 2996, 3000, 3033, 3064, 3066, 3077, 3081, 3092, 3096, 3105, 3106, 3107, 3122, 3131, 3146, 3159, 3176, 3181, 3350, 3351, 3356, 3358, 3359, 3363, 3394, 3426, 342931, 345193, 347735, 348, 3480, 348808, 348980, 353, 3552, 3553, 3554, 3557, 3565, 3569, 3576, 3579, 3586, 3593, 3612, 3617, 3620, 3630, 367, 3673, 3689, 3738, 374879, 3751, 375484, 3756, 3763, 3778, 3845, 3848, 387357, 387496, 387707, 3912, 391723, 3956, 3957, 3972, 3983, 40, 400359, 4015, 402117, 4036, 4046, 4049, 4085, 410, 4126, 4128, 4129, 4139, 4143, 4148, 4153, 4185, 4249, 4318, 4340, 443, 4436, 4524, 4528, 4552, 4588, 4589, 460, 463, 4636, 4646, 4647, 4676, 4684, 4685, 4741, 4747, 4760, 4783, 4790, 4791, 4792, 4835, 4842, 4846, 4852, 4886, 4887, 4889, 4898, 4915, 4916, 4922, 4923, 4929, 4940, 497258, 4985, 4986, 4987, 4988, 5021, 5068, 5079, 50833, 51008, 51072, 51076, 51083, 51176, 51194, 51196, 51334, 51350, 5142, 51430, 5144, 51574, 5173, 51738, 51752, 51778, 5179, 5187, 5199, 5243, 5251, 5287, 5290, 5291, 5293, 5294, 5295, 5308, 5310, 53358, 53407, 5368, 540, 5443, 54433, 54532, 5456, 5468, 54790, 54934, 5496, 54970, 55013, 551, 55133, 55205, 5521, 55213, 55326, 55435, 5549, 55511, 55686, 55755, 55784, 55790, 55821, 55825, 55843, 55885, 5592, 5593, 5594, 56117, 56144, 5617, 5651, 56651, 56898, 57001, 57089, 57117, 57179, 57181, 5726, 5727, 57453, 57471, 57480, 57486, 57542, 57556, 57561, 57624, 57721, 5787, 5789, 5791, 5793, 5797, 5799, 58, 5801, 5802, 5803, 5814, 58480, 58505, 5860, 5893, 5914, 5937, 594, 5972, 5979, 5981, 5992, 5999, 60481, 60685, 6092, 6096, 6118, 6119, 6164, 619501, 624, 6263, 627, 6304, 6315, 63876, 63923, 63973, 6401, 6402, 6445, 644660, 64579, 6462, 64850, 64863, 6490, 6496, 6506, 65065, 65217, 6530, 6531, 6532, 6533, 653590, 6536, 6571, 658, 6580, 6622, 6625, 664, 6647, 6648, 6660, 667, 6688, 6715, 6716, 673, 6755, 6834, 6854, 6863, 6869, 6870, 6902, 6905, 6948, 699, 6999, 7014, 7018, 7021, 7039, 7042, 7050, 7054, 7071, 7086, 7099, 7124, 7155, 7157, 7166, 7200, 723961, 7249, 7272, 728226, 728441, 729838, 7323, 7358, 7368, 7450, 7508, 7518, 7520, 7533, 775, 7803, 783, 79068, 79071, 7915, 79570, 796, 79642, 7965, 79807, 79823, 79888, 79899, 79955, 8001, 80034, 80207, 80216, 8030, 80319, 80339, 80731, 80821, 81, 814, 815, 81579, 817, 8170, 8292, 831, 8315, 833, 83666, 839, 84164, 84231, 84251, 84255, 84445, 84570, 8462, 84632, 84650, 84668, 84692, 847, 84708, 8484, 8492, 84953, 8528, 85439, 8575, 859, 8633, 8644, 8646, 8654, 8767, 8777, 8788, 88, 8811, 8829, 8833, 885, 886, 8863, 8864, 887, 8874, 8887, 89, 8910, 8912, 8973, 89978, 9, 9037, 904, 9061, 9095, 9145, 9152, 9177, 9215, 92293, 9255, 92610, 929, 93210, 9348, 93627, 9369, 9378, 9402, 94233, 9455, 9456, 9467, 9521, 9555, 9575, 958, 9583, 9607, 963, 9637, 9674, 9709, 9733, 9788, 9855, 9856, 9871
MIM103900	Glucocorticoid-Remediable Aldosteronism	1584, 1585, 183, 3777, 5443, 5972, 9516
MIM103920	Aspergillosis, Allergic Bronchopulmonary	1080, 129831, 2597, 3123, 3133, 3576, 4153, 4318, 450095, 54106, 653509, 7097, 7099, 729238, 847
MIM104200	ALPORT SYNDROME, AUTOSOMAL DOMINANT	1285, 1286, 3476
MIM104290	ALTERNATING HEMIPLEGIA OF CHILDHOOD 1	477
MIM104300	Alzheimer Disease	10, 1000, 10011, 100130988, 100188754, 100293534, 100302736, 100329167, 10047, 10048, 10058, 10059, 10060, 100861519, 10087, 1009, 10105, 10106, 10128, 10149, 10160, 1019, 10194, 102, 1020, 10200, 10206, 10211, 10212, 10215, 10243, 1027, 102724560, 10273, 10280, 1029, 10307, 10313, 10347, 10371, 10388, 10399, 10400, 10407, 10413, 10428, 10438, 10439, 10452, 10488, 10490, 1050, 10507, 1052, 10524, 10534, 10536, 10537, 10558, 10577, 10598, 10602, 10631, 10657, 10660, 10671, 1071, 10718, 10769, 10776, 10787, 1080, 10817, 10841, 10855, 10858, 10867, 10874, 10882, 10891, 10902, 10913, 10935, 10971, 10974, 10983, 10988, 10993, 11001, 1103, 11033, 11076, 11083, 11118, 11124, 1113, 11130, 11132, 11136, 1114, 1128, 1129, 113130, 113246, 11332, 113452, 1136, 1137, 1139, 114, 1141, 114799, 114815, 114884, 1152, 115209, 116443, 116444, 116519, 1191, 119391, 119395, 12, 1200, 120892, 1230, 1234, 124, 1241, 1267, 1269, 1271, 127495, 1277, 1281, 1291, 1292, 129685, 129831, 1302, 1311, 1312, 131578, 132299, 133482, 133522, 1351, 1352, 135295, 1355, 1356, 1363, 1369, 1371, 1374, 1375, 1378, 1385, 1386, 1387, 1390, 1392, 1398, 1401, 140890, 1410, 142, 143098, 143187, 1432, 143384, 1435, 1437, 144195, 1445, 144568, 1453, 145624, 146, 146395, 1464, 1470, 1471, 1473, 1474, 148, 148479, 1490, 149233, 149420, 1499, 150, 1501, 1508, 1509, 151056, 1513, 151393, 1514, 1520, 1523, 1524, 1525, 153, 1536, 1539, 154, 1543, 154467, 154796, 155, 156, 1562, 1565, 157680, 157773, 157807, 1585, 1586, 1588, 1592, 1600, 1601, 160851, 1612, 161835, 1621, 1627, 1629, 162967, 1634, 1636, 164284, 166336, 1666, 169044, 1718, 1728, 1733, 1734, 1738, 1742, 1743, 1759, 176, 1769, 177, 1785, 1794, 1797, 1808, 1810, 1812, 1813, 1814, 1815, 1816, 182, 1827, 183, 1832, 1834, 185, 1859, 186, 1869, 1889, 19, 1906, 1909, 1910, 1917, 192343, 1938, 1944, 1956, 1958, 1959, 196, 1960, 1962, 1965, 197, 1978, 1982, 199, 1991, 1993, 199920, 2, 20, 2004, 2006, 200844, 2009, 2011, 2023, 202333, 2026, 203228, 2041, 204962, 2057, 2066, 207, 207107, 2078, 2099, 2100, 2108, 2109, 2110, 2114, 213, 2146, 2147, 2149, 215, 2152, 2155, 2159, 2162, 2166, 217, 2170, 2194, 2195, 219738, 219771, 2199, 219972, 221079, 221468, 2220, 2224, 2242, 2243, 2244, 2246, 2247, 2258, 2260, 2261, 2263, 2266, 22796, 22861, 2288, 2289, 22900, 22930, 22937, 22943, 22950, 22976, 22982, 2300, 23037, 23047, 23054, 23163, 23190, 23236, 23237, 2324, 23242, 23268, 23286, 23328, 2335, 23385, 23410, 23411, 23417, 23435, 23443, 23504, 23524, 2353, 2354, 23560, 23583, 23607, 23621, 23627, 23636, 23741, 23759, 239, 2395, 240, 241, 2444, 246, 246744, 2475, 249, 2492, 25, 2534, 253738, 2548, 2550, 255022, 2551, 2572, 257313, 257397, 257641, 25797, 25798, 25825, 25827, 25871, 25897, 25902, 2597, 25978, 26011, 26020, 26047, 26073, 26088, 26122, 26133, 26154, 2618, 26191, 2623, 26279, 2629, 26330, 26353, 2638, 2644, 2645, 26470, 26578, 26614, 2668, 267, 2670, 267012, 2675, 2683, 2688, 2690, 2691, 2692, 26973, 27, 27034, 27131, 27163, 27185, 27190, 27240, 27303, 27306, 27328, 27344, 27352, 2736, 2739, 274, 2742, 2752, 2784, 279, 2817, 2837, 284217, 28514, 285311, 285672, 286, 2869, 2876, 288, 2885, 2890, 2891, 2892, 28951, 28952, 2896, 2902, 2903, 2904, 291, 29106, 29119, 2912, 2915, 2925, 2932, 2936, 2941, 2944, 2947, 2950, 2952, 2965, 29904, 29934, 29979, 3, 3002, 301, 3028, 3052, 3064, 3075, 3077, 30818, 3084, 3087, 3105, 3122, 3123, 3146, 3156, 3157, 3158, 3162, 3163, 3172, 3177, 3178, 3181, 319, 32, 320, 322, 323, 3239, 3240, 3248, 3257, 328, 3290, 3303, 3304, 3306, 3308, 3309, 3312, 3313, 3320, 3329, 3339, 334, 335, 3350, 3355, 3356, 3358, 3362, 338, 3383, 338399, 338412, 339345, 339448, 340895, 341, 3416, 3425, 3429, 344, 345, 3456, 345643, 345651, 3458, 3459, 347, 347731, 347736, 347745, 3479, 347902, 348, 3480, 3481, 3482, 3483, 3484, 3485, 3486, 3487, 3488, 3489, 351, 352909, 353, 353128, 353299, 353376, 353497, 354, 355, 3552, 3553, 3554, 3557, 3558, 356, 3562, 3565, 3566, 3569, 3570, 3572, 3576, 3578, 3579, 358, 3581, 3586, 3589, 3592, 3596, 3606, 3630, 3638, 3643, 3658, 3667, 367, 3673, 3674, 3684, 3685, 3687, 3688, 3717, 3725, 3726, 3727, 373156, 3749, 375, 375790, 3767, 3791, 38, 3827, 3831, 3832, 3856, 387715, 387914, 388007, 388552, 389036, 389432, 3897, 3915, 3918, 3921, 3925, 3929, 3931, 3933, 3934, 3938, 3949, 3952, 3953, 3972, 3973, 3988, 3990, 4000, 400624, 401335, 4018, 4023, 4035, 4036, 4038, 4040, 4041, 4043, 4049, 4056, 4061, 4069, 406901, 406936, 406938, 406989, 407, 4074, 4088, 410, 4128, 4129, 4133, 4137, 4153, 4155, 4179, 4192, 4205, 4210, 4223, 4241, 4259, 4261, 4277, 4287, 4295, 43, 4300, 4311, 4312, 4313, 4314, 4318, 4325, 4327, 4331, 4353, 4361, 4363, 4397, 440915, 4440, 4481, 450086, 4508, 4509, 4511, 4512, 4513, 4514, 4519, 4522, 4524, 4535, 4536, 4537, 4538, 4539, 4540, 4541, 4543, 4548, 4549, 4550, 4552, 4553, 4558, 4563, 4564, 4566, 4567, 4568, 4569, 4570, 4571, 4572, 4573, 4574, 4575, 4577, 4578, 4579, 4599, 4609, 462, 4651, 4666, 4673, 468, 4684, 4685, 4693, 4739, 4744, 4747, 4774, 4776, 4780, 4781, 4782, 4784, 4790, 4798, 48, 4803, 4804, 4827, 4830, 4831, 4842, 4843, 4846, 4851, 4852, 4855, 4858, 4860, 4864, 4878, 4879, 4880, 4887, 4898, 4899, 4908, 4914, 4915, 4922, 494336, 4967, 4968, 497258, 4973, 498, 4982, 5009, 5029, 5037, 5048, 5052, 5054, 5058, 5062, 50628, 50639, 5068, 5074, 5076, 5079, 50805, 50855, 51014, 5105, 51063, 51083, 51085, 51090, 51093, 51094, 51106, 51107, 5111, 51115, 51119, 5116, 51164, 51196, 5122, 5126, 51280, 51281, 5130, 51317, 51338, 51378, 51450, 51451, 51471, 51478, 51531, 5156, 5159, 5167, 5173, 51741, 5175, 5176, 51807, 5199, 5225, 5243, 5251, 5252, 5265, 5270, 5274, 5289, 5290, 5291, 5293, 5294, 5295, 5298, 5300, 5309, 5313, 5319, 5320, 5321, 5327, 5328, 5334, 5338, 5340, 5345, 5360, 53632, 5371, 53942, 5396, 5409, 54106, 54209, 5423, 5424, 5444, 5445, 5446, 54474, 54482, 5451, 54518, 54541, 5465, 5467, 5468, 54715, 54798, 5481, 54914, 5506, 55080, 5514, 55149, 55177, 55205, 5521, 55214, 5524, 5530, 5534, 5538, 5539, 5551, 5562, 55638, 5564, 5565, 5566, 55662, 5567, 55676, 55705, 5573, 55737, 55793, 55851, 5588, 5592, 55937, 5594, 5595, 55964, 5599, 5604, 5605, 5610, 56142, 5617, 5621, 5648, 5649, 56521, 5653, 5654, 56606, 5663, 5664, 56652, 56660, 56681, 56902, 56955, 5696, 5697, 5698, 56999, 5708, 57089, 571, 57142, 5715, 57224, 5725, 5729, 573, 5730, 5731, 5732, 5733, 5734, 5737, 5739, 5740, 5741, 5742, 5743, 57447, 5745, 57462, 57486, 57498, 57556, 57608, 5763, 57649, 57678, 5770, 57728, 57761, 5777, 57787, 5786, 5788, 58, 581, 5813, 58155, 58157, 5819, 5834, 5858, 5870, 5891, 5894, 590, 5914, 5915, 5916, 5925, 5934, 5940, 5950, 596, 5967, 5970, 5972, 598, 5981, 5983, 599, 5999, 6041, 6046, 60528, 6093, 613, 618, 6189, 6198, 6232, 624, 6252, 6256, 6257, 6258, 6262, 627, 6277, 6280, 6283, 6285, 6288, 6289, 629, 6310, 6311, 6315, 6319, 632, 6342, 6347, 6348, 6351, 6352, 6355, 637, 6376, 6387, 63895, 6401, 6403, 64102, 64112, 64137, 641455, 6418, 642, 64216, 64231, 64240, 643387, 64343, 643680, 644, 64409, 6445, 6453, 6456, 6461, 6462, 64645, 646506, 64689, 64782, 64805, 6482, 64851, 649, 65003, 65018, 6506, 65078, 651, 65125, 6513, 6515, 6517, 652, 65217, 6528, 6531, 653108, 6532, 653361, 653423, 6539, 655, 6568, 6571, 6572, 66008, 6616, 6622, 6623, 6646, 6647, 6648, 6653, 6655, 6658, 6667, 6678, 6683, 6687, 6696, 6716, 672, 6720, 6721, 6722, 6750, 6756, 6770, 6774, 6786, 6794, 6804, 6812, 682, 6832, 6833, 6844, 6853, 6854, 6855, 6857, 6863, 6868, 6872, 688, 6891, 6908, 6915, 6916, 6926, 6927, 693175, 693201, 6934, 6945, 6947, 6948, 6999, 7001, 7009, 7018, 7019, 7024, 7027, 7031, 7032, 7040, 7051, 7054, 7056, 7060, 7067, 7068, 7076, 7077, 7097, 7099, 71, 710, 7102, 7124, 7126, 7127, 7128, 7132, 7133, 7137, 7148, 715, 7157, 7159, 7161, 7166, 7167, 717, 7178, 718, 7185, 7186, 7187, 7188, 7189, 7190, 72, 720, 721, 723961, 724066, 7249, 7272, 7274, 7276, 728, 728450, 729230, 729665, 7312, 7314, 7321, 7329, 7345, 7352, 7357, 7376, 7391, 7392, 7412, 7415, 7416, 7421, 7422, 7425, 7436, 7447, 7450, 7490, 7504, 7511, 7515, 7534, 755, 760, 768, 773, 7767, 7779, 7782, 7799, 780, 7804, 780912, 7850, 7852, 788, 79001, 7905, 79068, 79135, 79152, 7919, 79258, 79297, 793, 7938, 7941, 79581, 79602, 7965, 79659, 79739, 7980, 79809, 79879, 79895, 799, 79966, 80018, 801, 80142, 8029, 80312, 80316, 8038, 80737, 8074, 80761, 80781, 8081, 80823, 8086, 81037, 8106, 815, 81502, 81553, 81618, 81624, 8170, 818, 81847, 8208, 822, 823, 8233, 8301, 831, 834, 83464, 83478, 836, 837, 839, 83937, 8396, 8398, 840, 841, 8428, 84312, 84547, 84549, 84570, 846, 84630, 84650, 8468, 84681, 847, 8471, 84920, 8518, 8521, 8540, 85569, 8567, 8568, 857, 860, 8600, 8618, 8622, 8650, 8651, 8660, 8678, 8682, 8694, 8701, 8711, 8735, 8743, 875, 8754, 8761, 8771, 8784, 8792, 8803, 8809, 8843, 8851, 8856, 8864, 8867, 8878, 8879, 89, 892, 8941, 896, 89795, 89832, 89872, 8989, 8997, 9, 9001, 9002, 9023, 9027, 90332, 90865, 9124, 9139, 91523, 9154, 922, 9220, 9221, 9227, 9232, 9261, 928, 929, 9344, 9360, 93663, 9370, 9377, 9382, 9402, 9420, 9429, 9436, 9445, 9446, 945, 9457, 9466, 9467, 947, 9476, 9479, 948, 9482, 949, 9507, 9518, 952, 9536, 9546, 9575, 958, 9588, 959, 960, 9618, 9619, 9632, 9644, 966, 968, 9749, 9790, 9817, 983, 9846, 9918, 9961, 9968, 9970, 9971, 998
MIM104310	Alzheimer disease type 2	1103, 348, 3921, 4035, 43, 5786, 6520, 7064, 9961
MIM104500	Amelogenesis Imperfecta, Type IB	10117, 1565
MIM104510	Amelogenesis Imperfecta, Type IV	1747
MIM104530	Amelogenesis imperfecta local hypoplastic form	10117, 258, 3914
MIM105120	Meretoja syndrome	2934
MIM105150	Hereditary cerebral amyloid angiopathy, Icelandic type	1471, 1508, 388007
MIM105200	Amyloidosis, familial visceral	2243, 335, 4069, 567, 5788, 952
MIM105210	Amyloidosis, Hereditary, Transthyretin-Related	1056, 11146, 2191, 2934, 4879, 5502, 7276, 7422
MIM105250	Amyloidosis IX	5979, 9180
MIM105400	Amyotrophic lateral sclerosis 1	10000, 100506742, 10133, 10736, 11328, 1191, 12, 120237, 1270, 1319, 1387, 1410, 1471, 148266, 1509, 1536, 1639, 170825, 203228, 207, 2251, 2280, 2281, 2286, 2287, 2288, 2289, 23361, 23435, 2353, 23770, 248, 2521, 253152, 2551, 2554, 25978, 2637, 2664, 2668, 2670, 27040, 2737, 283, 284390, 2876, 2892, 2897, 29978, 3065, 3297, 3308, 331, 3315, 3375, 340990, 3483, 351, 3718, 3727, 3797, 387521, 387522, 3925, 3949, 3976, 4137, 4287, 4477, 4485, 4489, 4490, 4493, 4494, 4495, 4496, 4498, 4499, 4500, 4501, 4543, 4744, 4780, 4908, 5034, 51303, 51312, 51450, 5154, 51542, 51661, 5179, 5216, 55033, 5551, 56052, 56242, 5630, 56975, 57679, 5805, 596, 598, 60681, 6239, 6256, 6272, 6404, 64283, 644314, 6445, 6464, 6506, 6531, 6615, 6623, 6647, 6648, 6649, 682, 6883, 7001, 7074, 7078, 7090, 7114, 7124, 7277, 7295, 7296, 7335, 7415, 7422, 7431, 7476, 7494, 794, 79852, 80818, 8148, 834, 836, 837, 84000, 84061, 8468, 847, 8630, 89782, 9048, 9118, 9217, 924, 9242, 9588, 961, 968, 9973
MIM105500	AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1	10971, 348, 3483, 54822, 6647
MIM105550	Frontotemporal Dementia With Motor Neuron Disease	10280, 203228, 29978, 3483, 400916, 6647
MIM105563	Anal sphincter dysplasia	100187749
MIM105580	Anal Canal Carcinoma	4830, 7157, 8066
MIM105600	Congenital dyserythropoietic anemia, type III	981
MIM105650	Diamond-Blackfan Anemia 1	114086, 5175, 54474, 596, 6125, 6135, 6165, 6201, 6218, 6223, 6229, 8378, 931, 939, 973
MIM105800	Aneurysm, Intracranial Berry, 1	116833
MIM105830	Angelman Syndrome	10396, 104472715, 10479, 10984, 123606, 1287, 158506, 161003, 1859, 1934, 23742, 2558, 2562, 2567, 259266, 27319, 27338, 282, 285220, 30827, 3093, 3342, 344387, 4157, 4204, 4208, 4477, 4485, 4524, 4692, 4929, 4948, 5071, 51366, 54756, 5621, 57194, 57556, 5926, 60482, 6079, 6531, 6638, 6792, 692236, 6925, 6934, 7024, 7082, 7157, 7337, 7389, 7681, 79594, 801, 805, 808, 81031, 84000, 84546, 84679, 85388, 85389, 85390, 85391, 8924, 8925, 89782, 91833
MIM106100	ANGIOEDEMA, HEREDITARY, TYPE I	710
MIM106210	Aniridia	100528024, 10058, 1545, 2296, 26610, 3265, 338, 3630, 4893, 5015, 5077, 5080, 52, 55366, 563, 613, 723961, 7422, 7490, 8045, 847, 963
MIM106250	Ankyloblepharon filiforme adnatum cleft palate	170
MIM106260	Hay-Wells syndrome	10970, 1832, 1913, 2263, 2810, 6121, 7405, 79755, 8626
MIM106280	Ankyloglossia	10682, 11275, 1371, 50945, 53336, 56062, 8549
MIM106300	SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1	5167
MIM106500	Annular Erythema	6737
MIM106600	Hypodontia	10913, 1278, 128178, 1832, 1896, 1950, 2248, 23406, 2737, 3664, 3872, 4487, 4488, 5083, 50945, 5308, 55703, 80326, 8048, 810, 8313, 8517
MIM106700	Scimitar Syndrome	27063, 6893, 7422
MIM107100	Anorectal Anomalies	3110, 7474
MIM107200	Congenital anosmia	128674, 550625, 60675, 80781
MIM107250	Anterior segment mesenchymal dysgenesis	10660, 2295, 2301, 2316, 2993, 2994, 2996, 5080, 5309
MIM107320	Antiphospholipid Syndrome	10007, 10019, 10603, 129831, 1361, 1401, 1559, 1666, 19, 192343, 2147, 2150, 2152, 2153, 2162, 2212, 2651, 2811, 2821, 302, 308, 3108, 3109, 3115, 3117, 3119, 3123, 3126, 3272, 3479, 3484, 350, 354, 3663, 3673, 3674, 3690, 4153, 4524, 4846, 5054, 5055, 5196, 5327, 5340, 55024, 55065, 5554, 5555, 5867, 6311, 6347, 640, 6404, 6775, 7035, 7099, 7124, 7804, 79001, 8856
MIM107480	Townes-Brocks syndrome	6299, 6910
MIM107600	Aplasia Cutis Congenita	284252, 7020, 9790
MIM107640	Sleep Apnea, Central	28954, 6526, 6863, 6869, 8929
MIM107650	Sleep Apnea, Obstructive	101929857, 1029, 11126, 1113, 11258, 11261, 11331, 134, 1401, 147, 150, 153, 1535, 154, 155, 1565, 1636, 1666, 170572, 1758, 1778, 183, 1889, 1902, 1906, 1908, 1909, 1910, 200909, 2056, 2069, 2149, 2167, 226, 2260, 2261, 2263, 240, 2550, 26614, 2668, 2678, 27087, 2784, 285242, 2875, 28982, 2908, 2934, 3060, 3062, 3082, 3091, 3119, 3120, 3240, 3308, 3351, 3356, 3358, 3359, 338557, 340719, 3479, 348, 3552, 3553, 3569, 3606, 3630, 3667, 3779, 3952, 3953, 4023, 4050, 4092, 4159, 4160, 4193, 429, 4313, 445329, 4487, 4488, 4512, 4524, 4692, 4842, 4846, 4914, 5008, 5054, 50943, 51141, 5187, 5243, 5341, 5376, 54741, 56729, 56955, 5723, 5727, 5733, 5742, 594857, 5972, 5979, 6036, 627, 6279, 6347, 6469, 6532, 672, 6774, 6818, 6833, 6863, 6869, 6949, 7012, 7046, 7097, 7099, 7124, 723961, 7248, 7295, 7351, 7352, 7412, 7422, 7490, 79297, 85320, 886, 8929, 9177, 93210, 9370, 9435, 9575, 959, 9988
MIM107730	APOLIPOPROTEIN B	338
MIM107741	APOLIPOPROTEIN E	348
MIM107800	Arcus Senilis	335
MIM107970	Arrhythmogenic Right Ventricular Dysplasia, Familial, 1	7043
MIM108010	Cerebral arteriovenous malformations	182, 2022, 2050, 3552, 3553, 3557, 3696, 4089, 6590, 6774, 7057, 7099, 7422, 94
MIM108110	Arthrogryposis	10380, 112, 1137, 1146, 2065, 2074, 23095, 23345, 23443, 26276, 3925, 4621, 4626, 4671, 5304, 55906, 60681, 63894, 6520, 6606, 6607, 6638, 7136, 7140, 7169, 7248, 8506, 9587
MIM108120	Arthrogryposis multiplex congenita, distal type 1	4621, 7140, 7169
MIM108145	Oculomelic amyoplasia	63895
MIM108300	Stickler syndrome, type 1	1280
MIM108500	Episodic ataxia with nystagmus	1769, 3736, 4287, 477, 6310, 6323, 773, 836
MIM108600	Ataxia, Spastic, 1, Autosomal Dominant	114610
